Name,Tools Categories,Content,Link
Integromat,Automations,Integromat lets you connect apps and automate workflows in a few clicks. Move data between apps without big effort.,https://www.integromat.com/en
Todoist,Task Management,"Todoist is an task management app and todo list. Users can organize, schedule, maintain and prioritize personal tasks.",https://todoist.com
Unsplash,Miscellaneous,Unsplash is a creative platform that makes high-resolution photography freely available for any kind of use.,https://unsplash.com
Webflow,Website,"Webflow empowers web designers to build professional, responsive, and custom websites in a completely visual canvas.",https://webflow.com
Customer.io,Marketing,"Customer.io is an automated messaging platform for marketers who want more control, flexibility to craft, send data-driven emails.",https://customer.io/
Fresh Sales,Sales,Freshsales is a powerful and easy to use visual CRM and selling system that fits right into the daily workflow of sales teams.,https://www.freshworks.com/crm/sales/
Loom,Communication,"Loom lets you record your screen, voice, and face to create a shareable video in less time than it would take to type an email.",https://www.loom.com
Feedly,Link Management,Feedly is a secure space where you can privately organize and research the topics and trends that matter to you.,https://feedly.com/
Trello,Project Planner,"Trello cards are your portal to more organized work—where every single part of your task can be managed, tracked.",https://trello.com
Optimizely,Marketing,"Optimizely DXP platform provides A/B testing and multivariate testing tools, website personalization, and more.",https://www.optimizely.com/
Zapier,Automations,"Zapier makes you happier by automating away the tedious, time-consuming tasks that eat up productivity.",https://zapier.com
PrestaShop,Website,"PrestaShop is an e-commerce web app, committed to providing the best shopping cart experience for both merchants and customers.",http://www.prestashop.com/
Slack,Communication,"Slack is a new way to communicate with your team. It's faster, better organized, and more secure than email.",https://slack.com
Google Trends,SEO,"Google Trends is a website that analyzes the popularity of top search queries in Google Search across various regions, languages.",https://www.google.hu/trends/
Miro,Collaboration,"Miro provides an engaging, intuitive, in-person collaboration experience. Create, collaborate and centralize communication.",https://miro.com
Invoice2go,Finances,"Invoice2go is the all-in-one tool that helps you run your small business. Manage customers, send invoices, accept payments.",https://invoice.2go.com
Stripe,Finances,Stripe is an app that powers commerce for online businesses. Online payment processing for internet businesses.,https://stripe.com
Toggl Track,Time Tracker,Toggl Track is the ultimate simple online timer. Whether you need to track your work or just need a simple stopwatch.,https://toggl.com/track/
