Name,Content,Image Featured,Link,Tools Categories
Toggl Plan,"Toggl Plan makes planning is easy. Just drag a task on the timeline to schedule its start and end dates, and you're done.",https://pathpages.com/wp-content/uploads/2021/08/tool-31.png,https://toggl.com/plan/,Project Planner
Convertkit,"ConvertKit helps you find your audience, turn them into true fans, and earn a living as a creator with our software.",https://pathpages.com/wp-content/uploads/2021/08/tool-58.png,https://convertkit.com,Marketing
aText,"aText is a text template, text shortcut, text macro, text automation, text expansion tool. aText accelerates your typing.",https://pathpages.com/wp-content/uploads/2021/08/tool-25.png,https://www.trankynam.com/atext/,Automations
Wix,Wix is a smart website builder with optical delights. Easy to use and as flexible as it can get. With over 500 customizable templates.,https://pathpages.com/wp-content/uploads/2021/08/tool-77.png,http://www.wix.com/,Website
Shopify,"Shopify helps you ttart your ecommerce business and manage it from anywhere, with no coding or design skills needed.",https://pathpages.com/wp-content/uploads/2021/08/tool-68.png,http://www.shopify.com/,Website
Grammarly,Grammarly is a writing assistant that offers you specific suggestions to help you improve your writing.,https://pathpages.com/wp-content/uploads/2021/08/tool-51.png,https://www.grammarly.com,Miscellaneous
Todoist,"Todoist is an task management app and todo list. Users can organize, schedule, maintain and prioritize personal tasks.",https://pathpages.com/wp-content/uploads/2021/08/tool-30.png,https://todoist.com,Task Management
Weebly,"Weebly’s free website builder makes it easy to create a website. Find customizable templates, domains, and easy-to-use tools.",https://pathpages.com/wp-content/uploads/2021/08/tool-83.png,http://www.weebly.com/,Website
IFTTT,IFTTT helps you to do more with your favorite apps and devices. Make your home more relaxing. Make your work more productive.,https://pathpages.com/wp-content/uploads/2021/08/tool-47.png,https://ifttt.com,Automations
Loom,"Loom lets you record your screen, voice, and face to create a shareable video in less time than it would take to type an email.",https://pathpages.com/wp-content/uploads/2021/08/tool-6.png,https://www.loom.com,Communication
Drift,Drift brings your go-to-market teams together to deliver personalized customer experiences in real time.,https://pathpages.com/wp-content/uploads/2021/08/tool-109.png,https://www.drift.com/,Marketing
Mailer Lite,MailerLite is a marketing tool that helps you design beautiful newsletters and set up automated e-commerce campaigns.,https://pathpages.com/wp-content/uploads/2021/08/tool-13.png,https://www.mailerlite.com,Marketing
Toggl Track,Toggl Track is the ultimate simple online timer. Whether you need to track your work or just need a simple stopwatch.,https://pathpages.com/wp-content/uploads/2021/08/tool-20.png,https://toggl.com/track/,Time Tracker
Airtable,"Airtable can store information in a spreadsheet that’s visually appealing, easy to use. It’s also powerful to act as a database.",https://pathpages.com/wp-content/uploads/2021/08/tool-18.png,https://airtable.com,Task Management
Pexels,"Pexels app gives you unlimited access to over 3 million free, high-resolution photos and videos. No attribution needed.",https://pathpages.com/wp-content/uploads/2021/08/tool-29.png,https://www.pexels.com,Miscellaneous
Miro,"Miro provides an engaging, intuitive, in-person collaboration experience. Create, collaborate and centralize communication.",https://pathpages.com/wp-content/uploads/2021/08/tool-28.png,https://miro.com,Collaboration
Squarespace,"Squarespace is the all-in-one solution for anyone looking to create a beautiful website. Domains, eCommerce and more.",https://pathpages.com/wp-content/uploads/2021/08/tool-82.png,http://www.squarespace.com/,Website
Udemy,Udemy is an online learning and teaching marketplace with over 155000 courses and 40 million students.,https://pathpages.com/wp-content/uploads/2021/08/tool-41.png,https://www.udemy.com,Education
